op,case,calc_ms,spot_ms,spot2_ms,nodes,cells,linked,note
align,2state1ap2acc_parity_0718865472_c×3state1ap0acc_004613_c,0.018,,,9,81,20,cold
align,2state1ap2acc_parity_0719209480×3state1ap0acc_076804_c,0.0575,,,56,3136,99,cold
align,2state1ap2acc_parity_1079766528_c×3state1ap0acc_013354,0.044,,,38,1444,83,cold
align,2state1ap2acc_parity_1079766528_c×3state1ap0acc_029090_c,0.0597,,,47,2209,93,cold
align,2state1ap2acc_parity_1082231338_c×3state1ap0acc_013576,0.0558,,,51,2601,124,cold
align,2state1ap2acc_parity_1083056266_c×3state1ap0acc_021104,0.1583,,,173,29929,355,cold
align,2state1ap2acc_parity_1091584292×3state1ap0acc_006808,0.0574,,,48,2304,92,cold
align,2state1ap2acc_parity_1092168202_c×3state1ap0acc_021072,0.0555,,,52,2704,213,cold
align,2state1ap2acc_parity_1093279572_c×3state1ap0acc_020636,0.0654,,,60,3600,106,cold
align,2state1ap2acc_parity_1100711304_c×3state1ap0acc_020556,0.0268,,,17,289,33,cold
align,2state1ap2acc_parity_1100711304_c×3state1ap0acc_025904_c,0.0445,,,41,1681,139,cold
align,2state1ap2acc_parity_1100711304_c×3state1ap0acc_030729,0.0651,,,60,3600,229,cold
align,2state1ap2acc_parity_1101285640_c×3state1ap0acc_076317_c,0.037,,,34,1156,118,cold
align,2state1ap2acc_parity_1143218698_c×3state1ap0acc_029996,0.043,,,40,1600,158,cold
align,2state1ap2acc_parity_1150265856×3state1ap0acc_004741,0.0229,,,17,289,34,cold
align,2state1ap2acc_parity_1150265856×3state1ap0acc_080138_c,0.088,,,89,7921,260,cold
align,2state1ap2acc_parity_1163278594×3state1ap0acc_092184,0.1246,,,130,16900,286,cold
