case_id,config_id,seed,ap_count,ref_classes,learned_classes,n_member_total,n_member_fill,n_member_harvest,n_member_saturation,n_member_pcache,n_equiv,n_splits,n_columns_lin,n_columns_om,n_saturation_checks,n_saturation_escalations,n_classes_initial,stall_class,n_guard_firings,guard_fired_final,cex_policy,max_cex_stem,max_cex_loop,max_query_word_len,eq_certification,export_associative,fixpoint_congruent,wall_seconds,verdict,detail
1state3ap0acc_025,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_025_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_027,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_027_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_030,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_030_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_031,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_031_c,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_060,default,0,2,3,3,13,12,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_060_c,default,0,2,3,3,13,12,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_061,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_061_c,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_063,default,0,2,3,3,14,12,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_063_c,default,0,2,3,3,14,12,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_105,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_105_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_107,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_107_c,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_111,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_111_c,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_126,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_126_c,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_127,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_127_c,default,0,3,3,3,30,28,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap1acc_00258,default,0,3,4,4,61,58,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state3ap1acc_00258_c,default,0,3,4,4,61,58,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state3ap1acc_00262,default,0,3,4,4,61,58,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state3ap1acc_00262_c,default,0,3,4,4,61,58,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
