id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
3state2ap2acc_parity_11324279776977852462179787958934211844653225,19,0,87,5,4,1,CONFLICT,186,4,1,0,1,0.00
3state2ap2acc_parity_11324279776977852462179787958934211844653225,20,0,87,5,4,1,CONFLICT,496872,4,1,0,1,7.19
3state2ap2acc_parity_11324279776977852462179787958934211844653225,22,0,87,5,4,1,CONFLICT,284,4,1,0,1,0.01
3state2ap2acc_parity_11324279776977852462179787958934211844653225,23,0,87,5,4,1,CONFLICT,496899,4,1,0,1,8.15
3state2ap2acc_parity_11324279776977852462179787958934211844653225_c,15,0,87,5,4,1,CONFLICT,302,4,1,0,1,0.01
3state2ap2acc_parity_11324279776977852462179787958934211844653225_c,16,0,87,5,4,1,CONFLICT,235,4,1,0,1,0.00
3state2ap2acc_parity_11324279776977852462179787958934211844653225_c,17,0,87,4,4,1,CLEAN,572,,,,,0.00
2state2ap2acc_parity_03965744933853960312_c,7,0,18,3,4,1,CONFLICT,36,2,1,0,1,0.00
3state2ap2acc_parity_11324279776977852462179787958934211844653225_c,19,0,87,5,4,1,CONFLICT,186,4,1,0,1,0.00
3state2ap2acc_parity_11324279776977852462179787958934211844653225_c,20,0,87,5,4,1,CONFLICT,496872,4,1,0,1,6.55
3state2ap2acc_parity_11324279776977852462179787958934211844653225_c,22,0,87,5,4,1,CONFLICT,284,4,1,0,1,0.01
3state2ap2acc_parity_11324279776977852462179787958934211844653225_c,23,0,87,5,4,1,CONFLICT,496899,4,1,0,1,5.84
3state2ap2acc_parity_11352125598174738554908919375056653404965564,13,0,64,5,4,0,CONFLICT,252,4,1,0,1,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564,14,0,64,5,4,0,CONFLICT,219,4,1,0,1,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564,16,0,64,5,4,0,CONFLICT,254,4,1,0,1,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564,17,0,64,3,4,0,CLEAN,225,,,,,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564,20,0,64,5,4,0,CONFLICT,256,4,1,0,1,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564,21,0,64,5,4,0,CONFLICT,260,4,1,0,1,0.00
2state2ap2acc_parity_03965744933853960312_c,8,0,18,3,4,1,CONFLICT,27,3,1,0,1,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564_c,13,0,64,5,4,0,CONFLICT,252,4,1,0,1,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564_c,14,0,64,5,4,0,CONFLICT,219,4,1,0,1,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564_c,16,0,64,5,4,0,CONFLICT,254,4,1,0,1,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564_c,17,0,64,3,4,0,CLEAN,225,,,,,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564_c,20,0,64,5,4,0,CONFLICT,256,4,1,0,1,0.00
3state2ap2acc_parity_11352125598174738554908919375056653404965564_c,21,0,64,5,4,0,CONFLICT,260,4,1,0,1,0.00
3state2ap2acc_parity_11909761371148414602740853507658891985426359,9,0,59,5,4,1,CONFLICT,766676,2,1,0,1,9.09
3state2ap2acc_parity_11909761371148414602740853507658891985426359,10,0,59,2,4,1,CLEAN,38,,,,,0.00
3state2ap2acc_parity_11909761371148414602740853507658891985426359,11,0,59,3,4,1,CLEAN,339,,,,,0.00
3state2ap2acc_parity_11909761371148414602740853507658891985426359,12,0,59,5,4,1,CONFLICT,23,2,1,0,1,0.00
2state2ap2acc_parity_04105050987715609315,6,0,23,3,4,1,CONFLICT,84,3,1,0,1,0.00
3state2ap2acc_parity_11909761371148414602740853507658891985426359,14,0,59,3,4,1,CLEAN,339,,,,,0.00
3state2ap2acc_parity_11909761371148414602740853507658891985426359,15,0,59,5,4,1,CONFLICT,766676,2,1,0,1,8.84
3state2ap2acc_parity_11909761371148414602740853507658891985426359,16,0,59,2,4,1,CLEAN,38,,,,,0.00
3state2ap2acc_parity_11909761371148414602740853507658891985426359,17,0,59,3,4,1,CLEAN,339,,,,,0.00
