input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
aut_02434.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.250,X(a & G(a | Xa)),6,1,8,1.3,f81a669277ad,TRUE,genaut/corpus/2state1ap1acc/aut_02434.hoa
aut_02435.hoa,LTL,daisy,0.074,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_02435.hoa
aut_02444.hoa,LTL,daisy2,0.074,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_02444.hoa
aut_02656.hoa,NOT_LTL,,1.177,,,,,,,,genaut/corpus/2state1ap1acc/aut_02656.hoa
aut_08450.hoa,LTL,daisy,0.071,a W (!a & XGa),6,2,8,1.3,93edac4e7e7a,TRUE,genaut/corpus/2state1ap1acc/aut_08450.hoa
aut_08451.hoa,LTL,daisy,0.076,a W G!a,4,2,5,1.2,c70f4b1799fb,TRUE,genaut/corpus/2state1ap1acc/aut_08451.hoa
aut_08454.hoa,LTL,daisy,0.076,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_08454.hoa
aut_08455.hoa,LTL,daisy+strength2,0.076,a W (!a & GF!a),6,3,9,1.5,88cf8b1eeaef,TRUE,genaut/corpus/2state1ap1acc/aut_08455.hoa
aut_08480.hoa,LTL,daisy2,0.074,G(a | Xa),4,1,5,1.2,6086f200fd72,TRUE,genaut/corpus/2state1ap1acc/aut_08480.hoa
aut_08484.hoa,LTL,daisy2,0.073,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_08484.hoa
aut_08488.hoa,LTL,daisy2,0.073,G(a | Xa),4,1,5,1.2,6086f200fd72,TRUE,genaut/corpus/2state1ap1acc/aut_08488.hoa
aut_08490.hoa,LTL,daisy2,0.074,G(a | Xa),4,1,5,1.2,6086f200fd72,TRUE,genaut/corpus/2state1ap1acc/aut_08490.hoa
aut_08496.hoa,NOT_LTL,,1.214,,,,,,,,genaut/corpus/2state1ap1acc/aut_08496.hoa
aut_08499.hoa,LTL,acc,1.199,a | X!a,4,0,5,1.2,76b49b86efd6,TRUE,genaut/corpus/2state1ap1acc/aut_08499.hoa
aut_08500.hoa,LTL,buchi,1.199,a | XF!a,5,1,6,1.2,9b6f48447a3e,TRUE,genaut/corpus/2state1ap1acc/aut_08500.hoa
aut_08503.hoa,LTL,buchi,1.218,a | XF!a,5,1,6,1.2,9b6f48447a3e,TRUE,genaut/corpus/2state1ap1acc/aut_08503.hoa
aut_08504.hoa,NOT_LTL,,1.189,,,,,,,,genaut/corpus/2state1ap1acc/aut_08504.hoa
aut_08508.hoa,LTL,acc,1.201,a | X!a,4,0,5,1.2,76b49b86efd6,TRUE,genaut/corpus/2state1ap1acc/aut_08508.hoa
aut_08511.hoa,LTL,acc,1.203,a | X!a,4,0,5,1.2,76b49b86efd6,TRUE,genaut/corpus/2state1ap1acc/aut_08511.hoa
aut_08516.hoa,LTL,daisy2,0.076,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_08516.hoa
aut_08518.hoa,LTL,acc,1.219,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_08518.hoa
aut_08519.hoa,LTL,acc,1.221,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_08519.hoa
aut_08520.hoa,LTL,daisy2,0.072,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_08520.hoa
aut_08522.hoa,LTL,daisy,0.073,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_08522.hoa
aut_08524.hoa,LTL,daisy2,0.073,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_08524.hoa
